follower_id,followee_id
1961381224,3587960280
1961381224,3116716801
1961381224,1045269490
1961381224,6574713134
1961381224,1273590234
1961381224,1650528691
1961381224,6351742537
1961381224,5143100170
1961381224,3216836631
1961381224,2070213285
1961381224,5539703320
1961381224,5346944523
1961381224,3760192265
1961381224,1748067122
1961381224,5821048344
1961381224,1244589914
1961381224,1655847780
1961381224,6346787731
1961381224,1852515130
1961381224,2554546793
6189120710,5878659096
6189120710,7790513079
6189120710,2992050891
6189120710,1986679210
6189120710,6586732953
6189120710,7714083748
6189120710,1618051664
6189120710,7468777622
6189120710,2138877405
6189120710,2016713117
6189120710,1985698157
6189120710,7579562933
6189120710,6207911580
6189120710,7774089243
6189120710,1743023794
6189120710,1241148864
6189120710,7747099444
6189120710,7483054836
6189120710,7739029497
6189120710,2286908003
6189120710,7308140398
2803301701,5878659096
2803301701,5044771484
2803301701,7984316773
2803301701,7556183438
2803301701,7362512027
2803301701,3912522941
2803301701,1906114713
2803301701,7790513079
2803301701,7743524245
2803301701,7614580167
2803301701,7696595533
2803301701,6724875390
2803301701,6036884241
2803301701,2376871271
2803301701,7391813734
2803301701,3306159133
2803301701,2327240597
2803301701,5696492050
2803301701,5699176990
2803301701,5661176683
2803301701,7315756679
5331040243,5878659096
5331040243,1773294041
5331040243,5310675167
5331040243,5993206325
5331040243,6045537963
5331040243,2025110773
5331040243,7527950457
5331040243,5230931257
5331040243,2712305611
5331040243,1861203461
5331040243,1730077315
5331040243,1062536002
5331040243,7870506446
5331040243,7831238207
5331040243,2449552120
5331040243,5473085545
5331040243,1914270830
5331040243,3996058027
5331040243,1195019732
5331040243,3019456565
5331040243,1777662081
3937348351,5878659096
3937348351,2105807580
3937348351,7002084904
3937348351,7921810443
3937348351,1581023144
3937348351,5033508400
3937348351,7790513079
3937348351,6869708417
3937348351,2943304674
3937348351,6199038235
3937348351,2794773565
3937348351,3083675110
3937348351,2210496261
3937348351,2143626595
3937348351,1937187173
3937348351,3757167087
3937348351,5743923782
3937348351,1985698157
3937348351,5663214224
3937348351,3181637812
3937348351,6894219990
3937348351,3896555376
3739579742,6041399759
3739579742,5989912607
3739579742,2761267495
3739579742,7796358654
3739579742,7307175708
3739579742,7564886759
3739579742,5894487821
3739579742,7477835402
3739579742,1677969704
3739579742,5720474518
3739579742,7632078520
3739579742,7504806444
3739579742,7675236253
3739579742,6444402026
3739579742,5657426591
3739579742,5584725888
3739579742,5858397190
3739579742,7879096523
3739579742,7561890191
3739579742,2813700891
1195354434,5878659096
1195354434,2247657845
1195354434,2731935637
1195354434,7051114584
1195354434,1195242865
1195354434,2744950651
1195354434,1838301932
1195354434,6979797477
1195354434,6634214154
1195354434,1807621622
1195354434,1738141833
1195354434,1288803057
1195354434,6773757690
1195354434,1751505334
1195354434,5479333882
1195354434,5515454640
1195354434,1792951112
1195354434,1805286132
1195354434,1215862823
1195354434,1802626467
1195354434,1736988591
2610429597,1985698157
2610429597,1640571365
2610429597,2745799121
2610429597,3587960280
2610429597,1778758223
2610429597,2318910945
2610429597,5136362277
2610429597,7424778130
2610429597,5563089830
2610429597,3941354960
2610429597,5394206608
2610429597,2850809427
2610429597,2882617115
2610429597,6205532018
2610429597,1182419921
2610429597,5574737580
2610429597,3180086671
2610429597,7387468559
2610429597,1926770752
2610429597,3699237457
1771925961,5878659096
1771925961,3138919892
1771925961,7940102464
1771925961,2089198005
1771925961,7211561239
1771925961,7941452294
1771925961,6486870325
1771925961,5574737580
1771925961,5066166401
1771925961,1218966851
